experiment_id,management,crop_type,crop_season,species,species_mix,cultivar,cultivar_mix,density_level,density_relative,density_factor,interrow,mixing_pattern,code_row,mixture_design,sowing_date,harvest_date,N_amount,N_fertilisation_number,N_fertilisation_dose_1,N_fertilisation_dose_2,N_fertilisation_dose_3,N_fertilisation_date_1,N_fertilisation_date_2,N_fertilisation_date_3,N_fertilisation_type,N_fertiliser,irrigation_amount,P_amount,pest_control
Angers_jailliere_2008,M10,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-03-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M11,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-02-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M12,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,60,1,60,NA,NA,2008-04-10,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M13,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-05-14,NA,NA,mineral,NA,0,0,yes
Angers_thorigne_2003,M1,SC,spring,barley,barley,scarlett,scarlett,200,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2003,M2,SC,spring,pea,pea,baccara,baccara,90,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2003,M3,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,100,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2003,M4,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,100,0.5,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2003,M3,IC,spring,pea,barley_pea,baccara,scarlett_baccara,45,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2003,M4,IC,spring,pea,barley_pea,baccara,scarlett_baccara,90,1,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M1,SC,spring,barley,barley,scarlett,scarlett,300,1,1,0.15,NA,NA,NA,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M2,SC,spring,pea,pea,baccara,baccara,90,1,1,0.15,NA,NA,NA,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M3,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,150,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M4,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,150,0.5,0.5_1,0.15,alternate_row,1_1,additive,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M3,IC,spring,pea,barley_pea,baccara,scarlett_baccara,45,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2004,M4,IC,spring,pea,barley_pea,baccara,scarlett_baccara,90,1,0.5_1,0.15,alternate_row,1_1,additive,2004-03-11,2004-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M1,SC,winter,wheat_aestivum,wheat_aestivum,apache,apache,300,1,1,0.145,NA,NA,NA,2005-11-17,2006-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M2,SC,winter,pea,pea,lucy,lucy,90,1,1,0.145,NA,NA,NA,2005-11-17,2006-06-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M3,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2005-11-17,2006-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M4,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,90,0.3,0.3_0.7,0.145,within_row,NA,substitutive,2005-11-17,2006-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M3,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,45,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2005-11-17,2006-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2006,M4,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,63,0.7,0.3_0.7,0.145,within_row,NA,substitutive,2005-11-17,2006-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M1,SC,winter,wheat_aestivum,wheat_aestivum,apache,apache,300,1,1,0.145,NA,NA,NA,2006-11-02,2007-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M2,SC,winter,wheat_aestivum,wheat_aestivum,apache,apache,300,1,1,0.145,NA,NA,NA,2006-11-02,2007-07-04,45,1,45,NA,NA,2007-03-09,NA,NA,organic,NA,0,0,no
Angers_thorigne_2007,M3,SC,winter,pea,pea,lucy,lucy,90,1,1,0.145,NA,NA,NA,2006-11-02,2007-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M4,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M5,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,210,0.7,0.7_0.3,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M6,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,30,1,30,NA,NA,2007-04-13,NA,NA,organic,NA,0,0,no
Angers_thorigne_2007,M7,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,210,0.7,0.7_0.3,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,30,1,30,NA,NA,2007-04-13,NA,NA,organic,NA,0,0,no
Angers_thorigne_2007,M4,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,45,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M5,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,27,0.3,0.7_0.3,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2007,M6,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,45,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,30,0,30,NA,NA,2007-04-13,NA,NA,organic,NA,0,0,no
Angers_thorigne_2007,M7,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,27,0.3,0.7_0.3,0.145,within_row,NA,substitutive,2006-11-02,2007-07-04,30,0,30,NA,NA,2007-04-13,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M1,SC,winter,wheat_aestivum,wheat_aestivum,apache,apache,300,1,1,0.145,NA,NA,NA,2007-10-30,2008-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M2,SC,winter,wheat_aestivum,wheat_aestivum,apache,apache,300,1,1,0.145,NA,NA,NA,2007-10-30,2008-07-09,110,2,80,30,NA,2008-03-18,2008-04-02,NA,organic,NA,0,0,no
Angers_thorigne_2008,M3,SC,winter,pea,pea,lucy,lucy,90,1,1,0.145,NA,NA,NA,2007-10-30,2008-06-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M4,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M5,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,210,0.7,0.7_0.3,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M6,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,35,1,35,NA,NA,2008-03-18,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M7,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,210,0.7,0.7_0.3,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,72,1,72,NA,NA,2008-03-18,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M8,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,150,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,35,1,35,NA,NA,2008-04-17,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M9,IC,winter,wheat_aestivum,wheat_aestivum_pea,apache,apache_lucy,210,0.7,0.7_0.3,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,72,1,72,NA,NA,2008-04-17,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M4,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,45,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M5,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,27,0.3,0.7_0.3,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no
Angers_thorigne_2008,M6,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,45,0.5,0.5_0.5,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,35,1,35,NA,NA,2008-03-18,NA,NA,organic,NA,0,0,no
Angers_thorigne_2008,M7,IC,winter,pea,wheat_aestivum_pea,lucy,apache_lucy,27,0.3,0.7_0.3,0.145,within_row,NA,substitutive,2007-10-30,2008-07-09,72,1,72,NA,NA,2008-03-18,NA,NA,organic,NA,0,0,no
